headline,url,site,y
"Trump Campaign Chief Praised Clinton In 2011 As ""Compelling Figure"" In Troubling Times",http://www.buzzfeed.com/andrewkaczynski/trump-campaign-chief-praised-clinton-in-2011-as-compelling-f,buzzfeed,1
A New York Community Is Struggling To Understand Why Two Muslims Were Killed,http://www.buzzfeed.com/talalansari/ozone-park-murders,buzzfeed,1
Chilling Surveillance Footage Shows Moment 7 Year Old Was Almost Abducted,http://dailybuzzlive.com/chilling-surveillance-footage-shows-moment-7-year-old-was-almost-abducted/,dailybuzz,1
"NASHVILLE THEATER SHOOTING: Alleged Gunman With Hatchet, Found Strapped To 'òHoax Explosive Device''",http://21stcenturywire.com/2015/08/05/nashville-theater-shooting-alleged-gunman-with-hatchetfound-strapped-to-hoax-explosivedevice/,21stcenturywire,1
"Newest Crime: #LaughingWhileBlack, Women Kicked Off Wine Train In Napa Valley",http://dailybuzzlive.com/newest-crime-illegal-to-laugh-while-black-women-kicked-off-wine-train-in-napa-valley/,dailybuzz,1
Kept Mysterious for Good Reason'ù 'ì Black Helicopters Buzz Boston in DoD Exercise,http://www.activistpost.com/2016/08/black-helicopters-buzz-boston-dod-exercise.html,activistpost,1
Trump: My Position On Keeping Terrorists Out Is What Bothered Khizr Khan,http://www.buzzfeed.com/andrewkaczynski/trump-my-position-on-keeping-terrorists-out-is-what-bothered,buzzfeed,1
Russia and U.S. 'úLosing Patience'ù With One Another Over Syria,http://www.activistpost.com/2016/06/russia-u-s-losing-patience-with-one-another-over-syria.html,activistpost,1
"Russia Killed 28,000 Terrorists in Syria, One Third of All ISIS Forces",http://21stcenturywire.com/2016/05/26/russia-killed-28000-terrorists-in-syria-one-third-of-all-isis-forces/,21stcenturywire,1
'òTime-Traveling Hammer' Found In 400 Million Year Old Rock,http://dailybuzzlive.com/time-traveling-hammer-found-in-400-million-year-old-rock/,dailybuzz,1
"With Olympic Games Done, New Campaign Of ISIS 'úStories'ù Emerges In Lead-up to 9/11 Anniversary",http://www.activistpost.com/2016/08/olympic-games-done-new-campaign-isis-stories-emerges-lead-911-anniversary.html,activistpost,1
"Govt Exposed for Forcing Foster Kids, Even Toddlers to Take Dangerous Psychotropic Drugs",http://www.activistpost.com/2016/08/govt-exposed-forcing-foster-kids-even-toddlers-take-dangerous-psychotropic-drugs.html,activistpost,1
Chicago Police Chief Wants To Fire Seven Officers Involved In Laquan McDonald Shooting,http://www.buzzfeed.com/mikehayes/chicago-police-chief-wants-to-fire-seven-officers-involved-i,buzzfeed,1
Bizarre ISIS Hoax Attack Staged In Prague Triggers Panic In Streets '¶ Coincidence?,http://www.activistpost.com/2016/08/bizarre-isis-hoax-attack-staged-prague-triggers-panic-streets-coincidence.html,activistpost,1
"McDonald's Is Going To Sell McGriddles, McMuffins, And Biscuits All Day",http://www.buzzfeed.com/venessawong/mcdonalds-is-going-to-sell-mcgriddles-mcmuffins-and-biscuits,buzzfeed,1
You Won't Believe This But Tim Kaine Doesn't Like Talking About Himself,http://www.buzzfeed.com/darrensands/you-wont-believe-this-but-tim-kaine-doesnt-like-talking-abou,buzzfeed,1
Disturbing Study Links Body Cams to INCREASE in Fatal Police Shootings,http://www.activistpost.com/2016/08/disturbing-study-links-body-cams-increase-fatal-police-shootings.html,activistpost,1
The Government Set Up A Fake University To Catch Visa Fraudsters,http://www.buzzfeed.com/mollyhensleyclancy/the-government-set-up-a-fake-university-to-catch-visa-frauds,buzzfeed,1
Children Are Among Those Killed By A Suspected Chlorine Attack In Syria,http://www.buzzfeed.com/rosebuchanan/children-are-among-those-killed-by-suspected-chlorine-attack,buzzfeed,1
Peace Prize President Obama Approved $200 Billion in Arms Deals Since 2009,http://21stcenturywire.com/2016/05/24/peace-prize-president-obama-approved-200-billion-in-arms-deals-since-2009/,21stcenturywire,1
Orlando Shooter Spent Final Days Obsessing Over Psychotropic Drugs 'î Feds Suppressed This Info,http://www.activistpost.com/2016/06/orlando-shooter-psychotropic-drugs-feds-suppressed.html,activistpost,1
Chinese Media: 'úWorld War III Is Coming Soon'ù,http://dailybuzzlive.com/chinese-media-world-war-iii-is-coming-soon/,dailybuzz,1
The Illusion of Falling Official 'Unemployment'ù Fades,http://www.activistpost.com/2016/06/the-illusion-of-falling-official-unemployment-fades.html,activistpost,1
NGOs: Choice Tool of Subversion for the New World Order,http://www.activistpost.com/2016/08/ngos-choice-tool-subversion-new-world-order.html,activistpost,1
Education in a Police State: Schools Across the US Firing Guidance Counselors 'î Opt for Cops Instead,http://www.activistpost.com/2016/06/education-in-a-police-state-cops-for-guidance-councelors.html,activistpost,1
"For-Profit Colleges Say New Obama Rules Will ""Crush"" The Industry",http://www.buzzfeed.com/mollyhensleyclancy/for-profit-colleges-say-new-obama-rules-will-crush-the-indus,buzzfeed,1
Inside The College That Abolished The F And Raked In The Cash,http://www.buzzfeed.com/mollyhensleyclancy/inside-the-school-that-abolished-the-f-and-raked-in-the-cash,buzzfeed,1
"This Woman Thought She Had A Tumor, But What It Really Was Will Give You Nightmares!",http://dailybuzzlive.com/this-woman-thought-she-had-a-tumor-but-what-it-really-was-will-give-you-nightmares/,dailybuzz,1
"Zenefits To Cut 250 Jobs, Mostly From Sales",http://www.buzzfeed.com/williamalden/zenefits-to-cut-250-jobs-mostly-from-sales,buzzfeed,1
"Man Finds Wife Naked In Bed With Her Dad, Gets Stabbed By Father-In-Law",http://dailybuzzlive.com/man-finds-wife-naked-in-bed-with-her-dad-gets-stabbed-by-father-in-law/,dailybuzz,1
Everyone Braced For Violent Convention Protests And Then There Were None,http://www.buzzfeed.com/johnstanton/everyone-braced-for-violent-convention-protests-and-then-the,buzzfeed,1
New Report Exposing Coverup of Fukushima Proves Conspiracy Theorists Right,http://www.activistpost.com/2016/06/new-report-exposing-cover-up-of-fukushima-proves-conspiracy-theorists-right.html,activistpost,1
9 Outrageous Things Donald Trump Has Said About Latinos,http://dailybuzzlive.com/9-outrageous-things-donald-trump-said-latinos/,dailybuzz,1
Soros Hack: Top 10 Machinations of a Master Manipulator,http://www.activistpost.com/2016/08/soros-hack-top-10-machinations-master-manipulator.html,activistpost,1
"They're Alone In The Elevator, But When The Camera Catches Him Doing THIS It Goes Viral!",http://dailybuzzlive.com/theyre-alone-in-the-elevator-but-when-the-camera-catches-him-doing-this-it-goes-viral/,dailybuzz,1
CNN Sorry For Editing Clip Of Milwaukee Victim's Sister Calling For Violence,http://www.buzzfeed.com/davidmack/cnn-sorry-for-not-airing-full-clip-of-milwaukee-sister,buzzfeed,1
"Woman Ends Up In Hospital For Mistaking THIS For Hair Mousse, WOW!",http://dailybuzzlive.com/woman-ends-up-in-hospital-for-mistaking-this-for-hair-mousse-wow/,dailybuzz,1
òSTRANGER THINGS'' ' Hollywood MK Ultra Goes Full Occult,http://21stcenturywire.com/2016/07/26/stranger-things-hollywood-mk-ultra-goes-full-occult/,21stcenturywire,1
15 Photos That Will Convince You To NEVER Go Into The Ocean Again,http://dailybuzzlive.com/15-photos-that-will-convince-you-to-never-go-into-the-ocean-again/,dailybuzz,1
8 Big Decisions That Will Be Made By Whoever Wins The Election,http://www.buzzfeed.com/venessawong/eight-big-decisions-that-will-be-made-by-whoever-wins-the-el,buzzfeed,1
This Grandma Actually Pulls Out A Knife On Her Grandson'¶ OMG! #ThugLife,http://dailybuzzlive.com/grandma-actually-pulls-knife-grandson-omg-thuglife/,dailybuzz,1
Bill Maher reduced to shreds by Glenn Greenwald over US invading 'òmuslim countries'',http://21stcenturywire.com/2013/05/13/bill-maher-reduced-to-shreds-by-glenn-greenwald-over-us-invading-muslim-countries/,21stcenturywire,1
Pro Hillary DNC Kicks Off 'ì Resembles Scripted Orwellian Circus,http://www.activistpost.com/2016/07/pro-hillary-dnc-kicks-off-resembles-scripted-orwellian-circus.html,activistpost,1
"McDonald's Spices Up Fries With Garlic, Olive Oil, Parmesan, And Parsley",http://www.buzzfeed.com/venessawong/mcdonalds-is-testing-garlic-fries,buzzfeed,1
5 Predictions For The Human Race In The Years To Come,http://dailybuzzlive.com/5-predictions-human-race-years-come/,dailybuzz,1
úZika Zone'ù Turns Into Ghost Town as Planes Spray Neurotoxic Insecticide Over Residents,http://www.activistpost.com/2016/08/zika-zone-turns-ghost-town-planes-spray-neurotoxic-insecticide-residents.html,activistpost,1
"Ohio Teen Texts 'I'm Scared'ù To Mother, Found Dead",http://dailybuzzlive.com/ohio-teen-texts-im-scared-to-mother-found-dead/,dailybuzz,1
Indian Government Introduces Transgender Rights Bill,http://www.buzzfeed.com/lesterfeder/indian-government-introduces-transgender-rights-bill,buzzfeed,1
WARNING: Don''t Let Your Kids Eat This!!,http://dailybuzzlive.com/warning-dont-let-kids-eat/,dailybuzz,1
DNA Proves Chili''s Restaurant Waiter Spit In Man''s Drink After Complaining About Meal,http://dailybuzzlive.com/dna-proves-chilis-restaurant-waiter-spit-in-mans-drink-after-complaining-about-meal/,dailybuzz,1
DECEIVERS: Western Complicity in Tragic Death of Drowned Syrian Boy,http://21stcenturywire.com/2015/09/04/deceivers-western-complicity-in-tragic-death-of-drowned-syrian-boy/,21stcenturywire,1
"Paid CNN Commentator Corey Lewandowski Reignites Obama ""Birther"" Conspiracies",http://www.buzzfeed.com/maryanngeorgantopoulos/corey-lewandowski-reignites-obama-birther-conspiracy,buzzfeed,1
"Remy: Courtesy of the Red, White & Blue (Civil Liberties Edition)",http://www.activistpost.com/2016/07/remy-courtesy-of-the-red-white-blue-civil-liberties-edition.html,activistpost,1
"Wisconsin GOP Congressman: ""Definitely Leaning"" Toward Voting For Gary Johnson",http://www.buzzfeed.com/andrewkaczynski/wisconsin-gop-congressman-definitely-leaning-toward-voting-f,buzzfeed,1
NBC: Your Children Will Be Micro-Chipped 'Sooner Rather Than Later'ù,http://dailybuzzlive.com/nbc-children-will-microchipped-sooner-rather-later/,dailybuzz,1
Major Bank Official: Banks Are 'úPreparing for an Economic Nuclear Winter'ù,http://www.activistpost.com/2016/08/major-bank-official-banks-preparing-economic-nuclear-winter.html,activistpost,1
Mainstream Media Finally Admits Mass Banker 'Suicides'ù Were Likely a Vast Criminal Conspiracy,http://www.activistpost.com/2016/06/mainstream-media-finally-admits-mass-banker-suicides-were-likely-a-vast-criminal-conspiracy.html,activistpost,1
Former Trump Adviser: Trump Stopped Listening To Manafort Weeks Ago,http://www.buzzfeed.com/andrewkaczynski/former-trump-adviser-trump-stopped-listening-to-manafort-wee,buzzfeed,1
Meet The Most Racist Pastor In America ' Should His Church Be Shut Down?,http://dailybuzzlive.com/meet-the-most-racist-pastor-in-america-should-his-church-be-shut-down/,dailybuzz,1
"Senator Demands ""Immediate Action"" On ""No-Good"" College Accreditors",http://www.buzzfeed.com/mollyhensleyclancy/senator-demands-action-on-no-good-college-accredit,buzzfeed,1
"Russian Helicopter Shot Down In Syria, Killing All Five On Board",http://www.buzzfeed.com/aliciamelvillesmith/russian-helicopter-shot-down-in-syria-killing-fiv,buzzfeed,1
"Trump Supporters React To Plans To More Directly Address Black, Latino Voters",http://www.buzzfeed.com/peteraldhous/trump-supporters-react-to-plan-to-tour-detroit,buzzfeed,1
Producer of 'úVAXXED'ù Says Censorship Helped The Film,http://www.activistpost.com/2016/09/producer-vaxxed-says-censorship-helped-film.html,activistpost,1
Wendy's New Self-Service Kiosks Have People With A Lot Of Mixed Feelings,http://www.buzzfeed.com/leticiamiranda/people-have-mixed-feelings-about-wendys-new-self-service-kio,buzzfeed,1
People Are Not Happy With Charlie Hebdo's Italian Earthquake Cartoons,http://www.buzzfeed.com/albertonardelli/people-are-not-happy-with-charlie-hebdo-cartoon,buzzfeed,1
Leslie Jones Is Officially Going To Rio For The Olympics,http://www.buzzfeed.com/claudiakoerner/leslie-jones-is-officially-going-to-rio-for-the-olympics,buzzfeed,1
Military Vet Finds This Hateful Note On Car And You Won't Believe What It Says!,http://dailybuzzlive.com/military-vet-finds-this-hateful-note-on-car-and-you-wont-believe-what-it-says/,dailybuzz,1
Exposed: The US is an Oligarchy Ruled by Billionaires and Dictators,http://21stcenturywire.com/2016/04/17/exposed-the-us-is-an-oligarchy-ruled-by-billionaires-and-dictators/,21stcenturywire,1
5 Ways George Orwell's 1984 Has Come True Since It Was Published 67 Years Ago,http://www.activistpost.com/2016/06/5-ways-orwell-1984-has-come-true.html,activistpost,1
"Trump Institute Ads Promised ""Lifestyle Of Your Dreams,"" You'd Make ""Piles Of Cash""",http://www.buzzfeed.com/andrewkaczynski/trump-institute-ads-promised-lifestyle-of-your-dreams-youd-m,buzzfeed,1
Flirty Starbucks Barista Faces Backlash After Leaving 'òCreepy'' Message On Coffee Cup,http://dailybuzzlive.com/flirty-starbucks-barista-faces-backlash-after-leaving-creepy-message-on-coffee-cup/,dailybuzz,1
US Gov't Just Approved Billions For Its Own Weapons The Same Day it Pushed Gun Control For Citizens,http://www.activistpost.com/2016/06/us-govt-just-approved-billions-for-its-own-weapons-the-same-day-it-pushed-gun-control-for-citizens.html,activistpost,1
Who Owns Your Body?,http://www.activistpost.com/2016/07/who-owns-your-body.html,activistpost,1
Bernie Sanders Team Disavows Idea Of Challenging Tim Kaine Pick,http://www.buzzfeed.com/rubycramer/bernie-sanders-team-disavows-idea-of-challenging-tim-kaine-p,buzzfeed,1
Science Proves That Spiders Weave Better Webs On LSD,http://dailybuzzlive.com/science-proves-that-spiders-weave-better-webs-on-lsd/,dailybuzz,1
"This Baby Was Born Different From Others, His Rare Condition Will Shock You!",http://dailybuzzlive.com/this-baby-was-born-different-from-others-his-rare-condition-will-shock-you/,dailybuzz,1
"Turkey Invades Syria, Backed By U.S.",http://www.activistpost.com/2016/08/turkey-invades-syria-backed-by-u-s.html,activistpost,1
Florida To Spray Residents Like Bugs Over Zika 'î With A Chemical That Ironically Reduces Fetal Brain Size In Studies,http://www.activistpost.com/2016/08/florida-spray-residents-like-bugs-zika-chemical-ironically-reduces-fetal-brain-size-studies.html,activistpost,1
"Iraq Redux: US-led Sanctions Against Syria Are Hurting Real People, Helping Real Terrorists",http://21stcenturywire.com/2016/03/07/iraq-redux-us-led-sanctions-against-syria-are-hurting-real-people-helping-real-terrorists/,21stcenturywire,1
"BOMBSHELL: Classified NATO Report Praises Russia Airstrikes as 'òEfficient, and Accurate'' in Syria",http://21stcenturywire.com/2016/03/06/bombshell-classified-nato-report-praises-russia-airstrikes-as-efficient-and-accurate-in-syria/,21stcenturywire,1
Donald Trump Brings In Breitbart News Executive Chairman To Run His Campaign,http://www.buzzfeed.com/jessicasimeone/donald-trump-brings-in-breitbart-news-executive-chairman-to,buzzfeed,1
It''s Time to Imagine a Post-Police World '¶ Here''s Why Abolishing the Police is Not a Crazy Idea,http://www.activistpost.com/2016/08/imagine-post-police-world.html,activistpost,1
"How the Nice Tragedy Will Be Used to Bolster War, Usurp Freedom, and Create More Terrorism",http://www.activistpost.com/2016/07/nice-tragedy-will-used-bolster-war-usurp-freedom-create-terrorism.html,activistpost,1
What's Up With the Newest Presidential Executive Order?,http://www.activistpost.com/2016/08/newest-presidential-executive-order.html,activistpost,1
9 Indisputable Truths About 'úConspiracy Theorists'ù,http://www.activistpost.com/2016/08/9-indisputable-truths-conspiracy-theorists.html,activistpost,1
"Son Of ""El Chapo"" Among Group Kidnapped In Mexican Resort Town",http://www.buzzfeed.com/adolfoflores/armed-men-abducted-a-group-of-people-in-a-restaurant-in-mexi,buzzfeed,1
UAE Military Campaign 'Practically Over'ù In Yemen After Series Of Crushing Defeats,http://www.activistpost.com/2016/06/uae-military-campaign-practically-over-in-yemen-after-series-of-crushing-defeats.html,activistpost,1
Man Almost Loses His Fingers When He Zips Down A Rusty Wire Bare Handed,http://dailybuzzlive.com/man-almost-loses-his-fingers-when-he-zips-down-a-rusty-wire-bare-handed/,dailybuzz,1
This Grandma Actually Pulls Out A Knife On Her Grandson'¶ OMG! #ThugLife,http://dailybuzzlive.com/grandma-actually-pulls-knife-grandson-omg-thuglife/,dailybuzz,1
Black Republicans Growing Even More Frustrated With Trump Effort,http://www.buzzfeed.com/darrensands/black-republicans-growing-even-more-frustrated-with-trump-ef,buzzfeed,1
"When The Little Boys Opens The Door, I Can''t Stop Laughing!",http://dailybuzzlive.com/when-the-little-boys-opens-the-door-i-cant-stop-laughing/,dailybuzz,1
Man Gets Stopped For 'Jogging While Black'ù And Shuts Police Down Like A Boss!,http://dailybuzzlive.com/man-gets-stopped-for-jogging-while-black-and-shuts-police-down-like-a-boss/,dailybuzz,1
Suspicious? DNC Staffer in Charge of 'úVoter Expansion Data'ù Murdered in D.C.,http://www.activistpost.com/2016/07/suspicious-dnc-staffer-in-charge-of-voter-expansion-data-murdered-in-d-c.html,activistpost,1
NSA''s Digital Dragnet on Americans: Your Gov''t is Trading Your Info with Mega Corps,http://21stcenturywire.com/2013/06/13/nsas-digital-dragnet-on-americans-govt-gives-your-info-to-giant-corporations/,21stcenturywire,1
"Guy Picks Up A Toy Guitar In Walmart, What Happens Next Blew My Mind!",http://dailybuzzlive.com/guy-picks-toy-guitar-walmart-happens-next-blew-mind/,dailybuzz,1
Two American Swimmers Removed From Flight By Brazilian Authorities,http://www.buzzfeed.com/salvadorhernandez/two-american-swimmers-removed-from-flight-by-brazilian-autho,buzzfeed,1
Iran''s President Hassan Rouhani Responds to Netanyahu,http://21stcenturywire.com/2015/03/04/irans-president-hassan-rouhani-responds-to-netanyahu/,21stcenturywire,1
"This Homeless Man Went Rock Hunting, But What He Found'¶. I''m Speechless!",http://dailybuzzlive.com/this-homeless-man-went-rock-hunting-but-what-he-found-im-speechless/,dailybuzz,1
Hillary Clinton''s Famous 'úLast'ù Words,http://www.activistpost.com/2016/07/hillary-clintons-famous-last-words.html,activistpost,1
Boy Who Died On World's Tallest Waterslide Suffered Neck Injury,http://www.buzzfeed.com/claudiakoerner/boy-dies-on-worlds-largest-water-slide,buzzfeed,1
"They Wanted A Yard For The Dog But Didn't Have One, So They Did The Next Best Thing!",http://dailybuzzlive.com/they-wanted-a-yard-for-the-dog-but-didnt-have-one-so-they-did-the-next-best-thing/,dailybuzz,1
Cop Shooter Insults Judge In Court: 'úHow Can A Church Shooter Get A Bond And I Cant?'ù,http://dailybuzzlive.com/cop-shooter-insults-judge-in-court-how-can-a-church-shooter-get-a-bond-and-i-cant/,dailybuzz,1
"This Young Dad Suffers Fatal Liver Failure, Then Doctors Realize What He's Been Eating!",http://dailybuzzlive.com/this-young-dad-suffers-fatal-liver-failure-then-doctors-realize-what-hes-been-eating/,dailybuzz,1
British MP Jo Cox Murdered: Now Comes The Psyop,http://www.activistpost.com/2016/06/british-mp-jo-cox-murdered-now-comes-the-psyop.html,activistpost,1
Fake CIA Agent and FOX News 'úTerror Expert'ù Sentenced to Prison for Lying to the Public for Years,http://www.activistpost.com/2016/07/fake-cia-agent-fox-news-terror-expert-sentenced-prison-lying-public-years.html,activistpost,1
Will U.S. House of Representatives Resolution 779 EVER Be Published?,http://www.activistpost.com/2016/06/will-u-s-house-of-representatives-resolution-779-ever-be-published.html,activistpost,1
"Trump Adviser Regrets Clinton 'úFiring Squad'ù Phrasing, Thanks Trump For Praise",http://www.buzzfeed.com/andrewkaczynski/trump-adviser-regrets-clinton-firing-squad-phrasing-thanks-t,buzzfeed,1
"Close Ally Newt Gingrich Says Trump Is Being ""Self-Destructive""",http://www.buzzfeed.com/maryanngeorgantopoulos/newt-gingrich-says-trump-is-being-self-destructive,buzzfeed,1
"FBI Operative Betrayed, Indicted on Terror Charge",http://www.activistpost.com/2016/08/fbi-operative-betrayed-indicted-terror-charge.html,activistpost,1
Maine Governor to Feds: 'úStates Don''t Work for You'ù,http://www.activistpost.com/2016/09/maine-governor-feds-states-dont-work.html,activistpost,1
Doctors Now Using LSD And 'òMagic Mushrooms' To Comfort Cancer Patients,http://dailybuzzlive.com/doctors-now-using-lsd-magic-mushrooms-comfort-cancer-patients-2/,dailybuzz,1
The Developer Behind Latest Pokemon Go Augmented Reality Craze,http://www.activistpost.com/2016/07/developer-behind-latest-pokemon-go-augmented-reality-craze.html,activistpost,1
Insane Female Serial Killer Aileen Carol Wuornos Interview One Day Before Her Execution,http://dailybuzzlive.com/insane-female-serial-killer-aileen-carol-wuornos-interview-one-day-before-her-execution/,dailybuzz,1
Horrifying: Patient Wakes Up In NY Hospital With Doctors Trying To Harvest Her Organs,http://dailybuzzlive.com/horrifying-patient-wakes-ny-hospital-doctors-trying-harvest-organs/,dailybuzz,1
15 Facts About The Imploding U.S. Economy That The Mainstream Media Doesn''t Want You To See,http://www.activistpost.com/2016/06/15-facts-about-the-imploding-economy.html,activistpost,1
Rescued Russian Pilot: 'òTurkey Gave Us NO Warning Before Shooting'',http://21stcenturywire.com/2015/11/25/rescued-russian-pilot-turkey-gave-us-no-warning-before-shooting/,21stcenturywire,1
NASA Confirms: Marijuana Contains 'úAlien DNA'ù From Outside Our Solar System,http://dailybuzzlive.com/nasa-confirms-marijuana-contains-alien-dna-outside-solar-system/,dailybuzz,1
Notorious 'òDemon House'' Torn Down After Purchased By 'òGhost Adventures'' Star Zak Bagans,http://dailybuzzlive.com/notorious-demon-house-torn-down-after-purchased-by-ghost-adventures-star-zak-bagans/,dailybuzz,1
Mama Pup Cries Real Tears Of Joy When She Is Reunited With Her Puppies!,http://dailybuzzlive.com/mama-pup-cries-real-tears-of-joy-when-she-is-reunited-with-her-puppies/,dailybuzz,1
6 Cancer Causers In Your Home You Should Throw Away Immediately!,http://dailybuzzlive.com/6-cancer-causers-home-throw-away-immediately/,dailybuzz,1
"The 'òLove Ranch'' Worker Who Found Lamar Unconscious Is Reportedly Missing, Photos Released",http://dailybuzzlive.com/the-love-ranch-worker-who-found-lamar-unconscious-is-reportedly-missing-photos-released/,dailybuzz,1
